Country,Very happy,Quite happy,Not very happy,Not at all happy,NA,DK,(N)
Total,23.8,51.4,20.2,3.3,0,1.2,73.246
Albania,3.1,30.3,52.5,10.9,0,3.2,999
Azerbaijan,11,65.6,20.2,1.3,0,1.9,2.002
Argentina,28.8,52.8,14.9,2.4,0,1.1,1.079
Australia,42.8,51.5,4.4,1,0,0.3,2.048
Bangladesh,18,66.8,13.2,1.7,0,0.4,1.525
Armenia,6,48.8,34.2,7.4,0,3.6,2
Bulgaria,9,46.5,32.7,8.7,0,3.1,1.072
Belarus,4.2,40.7,42.8,8.8,0,3.4,2.092
Chile,27,52.7,19.2,0.7,0,0.4,1
China,22.7,60.9,14.1,1.7,0,0.6,1.5
Taiwan,29.7,60.9,7.3,1.5,0.3,0.3,780
Colombia,47.1,37.2,14.7,1,0,0,2.996
Croatia,8.4,61,26.3,3.3,0,1.1,1.196
Czech Rep.,8.9,73.8,14.2,2.1,1,0,1.147
Dominican Rep.,31.9,40.5,24.9,1,0,1.7,417
El Salvador,55.6,36.4,6.7,1.1,0,0.2,1.254
Estonia,4.6,59.1,29.5,5.1,0,1.8,1.021
Finland,23.7,67.5,6.5,1.1,0,1.2,987
Georgia,11.6,53.6,29.1,5.2,0,0.4,2.008
Germany,17.9,62.6,15.3,3,0,1.2,2.026
Hungary,13.5,63.8,17.7,3.8,0,1.1,650
India,29.9,46,19.8,2.8,0,1.5,2.04
Japan,32.5,56.5,8.9,0.6,0,1.4,1.054
South Korea,11.9,76.9,10.1,1,0,0.1,1.249
Latvia,4.4,64.4,24.2,3.3,0,3.7,1.2
Lithuania,4.1,50.6,36,4.9,0,4.5,1.009
Mexico,31.5,38.1,26.3,2.6,0,1.5,1.51
Moldova,3.6,39.8,47.7,7.8,0,1.1,984
New Zealand,32.8,61.5,4.3,0.6,0.7,0.1,1.201
Nigeria,46.2,38.1,12.4,2.9,0.4,0.1,1.996
Norway,29.9,64.4,4.8,0.7,0,0.2,1.127
Pakistan,27.9,51.2,16.9,4,0,0,733
Peru,28.2,34.7,35.1,1.2,0,0.8,1.211
Philippines,40.2,52.2,6.3,1.1,0,0.1,1.2
Poland,18.3,67,11.5,2.5,0,0.7,1.153
Puerto Rico,42.9,47.9,7.8,1,0.1,0.3,1.164
Romania,5.1,51,35.2,7.1,0,1.6,1.239
Russia,6.1,44.1,40.3,7.6,0,1.9,2.04
Slovakia,6.6,64.8,24.3,3.7,0,0.6,1.095
Slovenia,13.4,60.4,22.5,2.8,0,0.9,1.007
South Africa,35.3,37.1,21.7,5.6,0,0.3,2.935
Spain,18.7,67.8,12.2,0.9,0,0.3,1.211
Sweden,39.2,54.7,4.1,0.8,0,1.2,1.009
Switzerland,39.8,54.5,4.7,0.6,0,0.4,1.212
Turkey,51,37.3,9.4,2.1,0,0.1,1.907
Ukraine,4.9,40.9,40.9,8.4,0,4.8,2.811
Macedonia,13.4,48.9,32.6,3.4,0,1.7,995
United Kingdom,32.4,58.2,6.8,2.4,0,0.2,1.093
United States,46.3,47.5,5.3,0.5,0,0.4,1.542
Uruguay,20.6,58.8,17.6,2.4,0,0.6,1
Venezuela,54.4,38.2,5.8,0.7,0,0.8,1.2
Serbia,13.9,56,24.5,4.5,0,1.1,1.28
Montenegro,13.8,55.4,27.5,1.7,0,1.7,240
Bosnia,15,64.1,18.6,1.5,0,0.8,800